habitaciones;baños;parqueaderos;area_construida;area_privada;estrato;estado;antiguedad;administracion;precio_m2;Ascensor;Circuito cerrado de TV;Parqueadero Visitantes;Portería / Recepción;Zonas Verdes;Salón Comunal;Balcón;Barra estilo americano;Calentador;Chimenea;Citófono;Cocina Integral;Terraza;Vigilancia;Parques cercanos;Estudio;Patio;Depósito / Bodega;nombre;ubicacion;precio
2;2;2;56 m²;0 m²;4;Excelente;1 a 8 años;$ 266.200 COP;$ 6.428.571,43*m²;1;1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;Apartamento;Cedritos;360000000
3;2;2;87 m²;0 m²;5;No definida;1 a 8 años;$ 390.000 COP;$ 5.965.517,24*m²;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Colina Campestre;519000000
3;2;1;59 m²;59 m²;3;Excelente;menor a 1 año;$ 80.000 COP;$ 4.830.508,47*m²;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;0;0;0;Apartamento;La granja;285000000
2;1;1;55 m²;88 m²;4;No definida;16 a 30 años;$ 159.000 COP;$ 5.436.363,64*m²;0;0;1;0;0;0;1;1;1;1;1;0;1;1;0;0;0;0;Apartamento;Belmira;299000000
3;3;1;112 m²;112 m²;4;Excelente;más de 30 años;$ 638.000 COP;$ 4.017.857,14*m²;1;0;1;1;0;0;0;0;1;0;1;1;0;1;0;1;0;0;Apartamento;Puente Largo;450000000
3;2;1;100 m²;100 m²;5;Bueno;16 a 30 años;$ 440.000 COP;$ 5.000.000*m²;1;1;0;0;0;0;1;0;1;0;1;1;0;0;0;1;0;1;Apartamento;Colina Campestre;500000000
1;2;1;72 m²;72 m²;5;No definida;más de 30 años;$ 140.000 COP;$ 5.541.666,67*m²;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;Casa;La Calleja;399000000
4;3;1;102 m²;102 m²;5;Bueno;más de 30 años;$ 620.000 COP;$ 5.098.039,22*m²;1;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;Apartamento;Alhambra;520000000
3;2;1;80,13 m²;72 m²;5;Excelente;1 a 8 años;$ 357.000 COP;$ 6.489.454,64*m²;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;1;Apartamento;Colina Campestre;520000000
2;1;0;52 m²;52 m²;3;No definida;16 a 30 años;$ 70.000 COP;$ 4.134.615,38*m²;0;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;Apartamento;Galerias;215000000
